Identifier,Remarks,en enu eng enc ena enz eni ens enj enb enl ent enw,default,de,es,ru,ptb pt br,it,tr trk,fr,cs,pl plk
DARRENMESSAGE49,,,"\cEDirty Douglas\n\cCWelcome back, \cPWill\cC. It's been a while. Check the headquarters; you'll find a few old friends and some new faces too. Talk to \cQGeneral Miller \cCas soon as you're ready. Oh, and if you're feeling rusty, meet me at the \cBtraining grounds\cC.","\cEDirty Douglas\n\cCWillkommen zurück, \cPWill\cC. Ist schon 'ne Weile her. Schau dich im Hauptquartier um. Du wirst ein paar alte Freunde und auch ein paar neue Gesichter finden. Sprich mit \cQGeneral Miller \cC, sobald du bereit bist. Oh, und wenn du dich eingerostet fühlst, dann triff mich auf dem Trainingsgelände.","\cEDouglas, El Sucio\n\cCBienvenido de nuevo, Will. Ha pasado tiempo. Ve a la sede; Encontrarás algunos viejos amigos y algunas caras nuevas también. Habla con el \cQGeneral Miller\cC apenas estés listo. Ah, y si te sientes oxidado, encuéntrame en el \cBcampo de entrenamiento\cC.","\cEГрязный Дуглас\n\cCС возвращением, \cPУилл\cC, давненько не виделись. Зайди в штаб: увидишь там старых друзей, ну, естественно, и новые лица тоже. Поговори с \cQгенералом Миллером\cC, как закончишь осматриваться. Если хочешь проверить свои навыки, сходи на \cBучебный полигон\cC.","\cEDouglas Sujo\n\cCBem-vindo de volta, \cPWill\cC. Faz tempo. Dê uma olhada no quartel-general; você encontrará alguns velhos amigos e algumas caras novas também. Fale com o \cQGeneral Miller \cCassim que estiver pronto. Ah, e se você estiver se sentindo enferrujado, encontre-me no \cBcampo de treinamento\cC.","\cEDirty Douglas\n\cCBentornato, \cPWill\cC. È passato un pò. Controlla il quartier generale; troverai un paio di vecchi amici e anche delle facce nuove. Parla col \cQGenerale Miller\cC appena sei pronto. Oh, e se ti senti arrugginito, incontrami al \cBcampo d' addestramento\cC.","\cEKirli Douglas\n\cCTekrar hoş geldin, \cPWill\cC. Uzun zaman oldu. Karargâhı kontrol et; birkaç eski arkadaş ve birkaç yeni yüz de bulacaksın. Hazır olduğunda \cQGeneral Miller \cC ile konuş. Ha, bir de paslanmış hissediyorsan, \cBeğitim alanında\cC benimle buluş.","\cEDirty Douglas\n\cC\cPWill\cC, bon sang, ça fait longtemps. Heureux de te revoir! Visite notre QG, tu trouveras quelques vieux amis, mais aussi des nouvelles recrues. Va voir le \cQGénéral Miller\cC quand tu es prêt. Mais si tu te sens rouillé, passe me voir au \cBterrain d'entraînement\cC.","\cEDirty Douglas\n\cCVítej zpátky, \cPWille\cC. Už je to nějaká ta doba. Jen běž v klidu dovnitř; narazíš tam na pár starých přátel a také několik nových tváří. Až budeš připraven, zajdi za \cQgenerálem Millerem\cC. Oh, a jestli budeš chtít rozcvičku, tak budu na \cBcvičišti\cC.","\cEDirty Douglas\n\cCWitamy ponownie, \cPWill\cC. Minęło trochę czasu. Sprawdź siedzibę; znajdziesz kilku starych przyjaciół i kilka nowych twarzy. Porozmawiaj z \cQGeneral Miller\cC, jak tylko będziesz gotowy. Aha, a jeśli czujesz się zardzewiały, spotkaj się ze mną na \cBterenach treningowych\cC."
DARRENMESSAGE50,,,"\cEDirty Douglas\n\cPWill\cC, what's the hold-up?! For Christ's sake, hurry! You've only got \cR4 minutes\cC before they gas the facility!","\cEDirty Douglas\n\cPWill\cC, was hält dich auf?! Um Himmels willen, beeil dich! Du hast nur noch \cR4 Minuten\cC, bevor die Anlage mit Gas geflutet wird!","\cEDouglas, El Sucio\n\cPWill\cC, ¿cuál es el atraco? ¡Por el amor de Dios, date prisa! ¡Solo tienes \cR4 minutos\cC antes de que gaseen el complejo!","\cEГрязный Дуглас\n\cPУилл\cC, в чём дело?! Ради всего святого, поторопись! У тебя всего лишь \cRчетыре минуты\cC до того, как они пустят газ!","\cEDouglas sujo\n\cPWill\cC, qual é a demora?! Pelo amor de Deus, se apresse! Você só tem \cR4 minutos\cC antes que eles gaseiem a instalação!","\cEDirty Douglas\n\cPWill\cC, cos'è questo ritardo?! Per l'amor del cielo, sbrigati! Hai solo \cR4 minuti\cC prima che gasino la struttura!","Kirli Douglas Will, ne bekliyorsun?! Tanrı aşkına, acele et! Tesisi gazlamadan önce sadece 4 dakikan kaldı!","\cEDirty Douglas\n\cPWill\cC, tu fais quoi?! Pour l'amour du ciel, dépêche-toi! Tu n'as que \cR4 minutes\cC avant qu'ils ne gazent tout le complexe!","\cEDirty Douglas\n\cCPro Krista, \cPWille\cC, co tě zdržuje?! Máš už jen \cR4 minuty\cC, než to celé zaplynují! Dělej!","\cEDirty Douglas\n\cPWill\cC, Co się trzyma?! Na litość boską, pospiesz się! Masz tylko \cR4 minuty\cC, zanim zatankują instalację!"
DARRENMESSAGE51,,,"\cEDirty Douglas\n\cPWill\cC, go to the storage area, and come back when you find a \cFrepair kit\cC.","\cEDirty Douglas\n\cPWill\cC, geh' in den Lagerbereich und komm zurück, wenn Du eine \cFWerkzeugkiste\cC gefunden hast.","\cEDouglas, El Sucio\n\cPWill\cC, ve al área de almacenamiento y regresa cuando encuentres un \cFkit de reparaciones\cC.","\cEГрязный Дуглас\n\cPУилл\cC, сходи на склад и вернись с \cFремонтным набором\cC.","\cEDouglas sujo\n\cPWill\cC, vá para a área de armazenamento e volte quando encontrar um \cFkit de reparo\cC.","\cEDirty Douglas\n\cPWill\cC, vai al deposito, e torna indietro quando avrai trovato un \cFkit di riparazione\cC.","Kirli Douglas Will, depoya git ve bir tamir kiti bulduğunda geri gel.","\cEDirty Douglas\n\cPWill\cC, va voir l'entrepôt, et reviens que tu auras trouvé un \cFkit de réparation\cC.","\cEDirty Douglas\n\cPWille\cC, běž do skladiště a najdi tam \cFopravářskou soupravu\cC.","\cEDirty Douglas\n\cPWill\cC, idź do magazynu i wróć, gdy znajdziesz \cZestaw naprawczy\cC."
DARRENMESSAGE52,,,"\cEDirty Douglas\n\cCAll right, \cPWill\cC. Now that you have the \cFrepair kit\cC, you can use it to fix that broken door mechanism.","\cEDirty Douglas\n\cCAlso gut, \cPWill\cC. Mit der \cFWerkzeugkiste\cC kannst du den defekten Türmechanismus reparieren.","\cEDouglas, El Sucio\n\cCDe acuerdo, \cPWill\cC. Usa ese \cFkit de reparaciones\cC que encontraste para reparar el mecanismo de la puerta rota.","\cEГрязный Дуглас\n\cCТак, \cPУилл\cC. Теперь ты можешь починить сломанный механизм двери с помощью этого \cFремонтного набора\cC.","\cEDouglas Sujo\n\cCMuito bem, \cPWill\cC. Agora que você tem o \cFkit de reparo\cC, você pode usá-lo para consertar aquele mecanismo de porta quebrado.","\cEDirty Douglas\n\cCD'accordo, \cPWill\cC. Ora che hai il \cFkit di riparazione\cC, puoi usarlo per aggiustare il meccanismo della porta danneggiato.","\cEKirli Douglas\n\cCPekala, \cPWill\cC. Artık \cFtamir kiti\cCneyse, onu kullanarak kırık kapı mekanizmasını tamir edebilirsin.","\cEDirty Douglas\n\cCTrès bien, \cPWill\cC. Maintenant que tu as le \cFkit de réparation\cC, tu peux l'utiliser pour réparer le mécanisme cassé de la porte.","\cEDirty Douglas\n\cCTak jo, \cPWille\cC. S tou \cFopravářskou soupravou\cC bys měl být schopen ten mechanismus dveří opravit.","\cEDirty Douglas\n\cCW porządku, \cPWill\cC. Teraz, gdy masz \cZestaw naprawczy\cC, możesz go użyć do naprawy zepsutego mechanizmu drzwi."
DARRENMESSAGE53,,,"\cEDirty Douglas\n\cCExcellent, \cPWill\cC. That \cFrepair kit\cC is exactly what you need to fix the broken door mechanism.","\cEDirty Douglas\n\cCAusgezeichnet, \cPWill\cC. Diese \cFWerkzeugkiste\cC ist genau das, was du brauchst, um den defekten Türmechanismus zu reparieren.","\cEDouglas, El Sucio\n\cCExcelente \cPWill\cC. Ese \cFkit de reparaciones\cC es exactamente lo necesario para reparar el mecanismo de la puerta rota.","\cEГрязный Дуглас\n\cCОтлично, \cPУилл\cC. Этот \cFремонтный набор\cC — то, что надо для починки механизма двери.","\cEDirty Douglas\n\cCExcelente, \cPWill\cC. Esse \cFkit de reparo\cC é exatamente o que você precisa para consertar o mecanismo da porta quebrada.","\cEDirty Douglas\n\cCEccellente, \cPWill\cC. Quel \cFkit di riparazione\cC è esattamente quello di cui hai bisogno per aggiustare il meccanismo della porta danneggiato.","\cEDirty Douglas\n\cCHarika, \cPWill\cC. Bu \cFtamir kiti\cC kırık kapı mekanizmasını tamir etmek için tam olarak ihtiyacın olan şey.","\cEDirty Douglas\n\cCExcellent, \cPWill\cC. Ce \cFkit de réparation\cC est exactement ce dont tu as besoin pour réparer le méchanisme de la porte.","\cEDirty Douglas\n\cCVýborně, \cPWille\cC. Ta \cFopravářská souprava\cC je přesně to, co potřebuješ, abys opravil ten rozbitý mechanismus dveří.","\cEDirty Douglas\n\cCDoskonale, \cPWill\cC. Ten \cZestaw naprawczy\cC jest dokładnie tym, czego potrzebujesz, aby naprawić zepsuty mechanizm drzwi."
DARRENMESSAGE54,,,"\cEDirty Douglas\n\cCVery good. As long as you keep your weapons down, nobody should notice you in that uniform, except the \cRGestapo\cC. There should also be a \cHblue \cFaccess key\cC around here, which will let you enter the U-boat bunker, and unlock the low-clearance secure areas.","\cEDirty Douglas\n\cCSehr gut. Solange du deine Waffen gesenkt hältst, sollte dich in dieser Uniform niemand bemerken - außer der \cRGestapo\cC. Hier sollte auch ein \cHblauer \cFZugangsschlüssel\cC liegen, mit dem du in den U-Boot-Bunker kommst und Sicherheitsbereiche mit niedriger Freigabe öffnen kannst.","\cEDouglas, El Sucio\n\cCMuy bien. Mientras mantengas tus armas abajo, nadie debería notarte con ese uniforme, excepto la \cRGestapo\cC. También debería haber una \cFllave de acceso \cHazul\cC por aquí, que te permitirá ingresar al búnker del submarino y desbloquear las áreas seguras de baja altura.","\cEГрязный Дуглас\n\cCНеплохо. Пока ты не достаёшь оружие, никто не должен тебя заподозрить — кроме \cRгестапо\cC. Где-то здесь должен лежать \cHсиний \cFключ доступа\cC, который позволит тебе добраться до бункера с подводной лодкой и открыть защищённые места с низким уровнем доступа.","\cEDirty Douglas\n\cCMuito bem. Contanto que mantenha suas armas abaixadas, ninguém deve notar você com esse uniforme, exceto a \cRGestapo\cC. Também deve haver uma \cHchave de \cFacesso azul\cC por aqui, que permitirá que você entre no bunker do submarino e destrave as áreas seguras de baixa altura.","\cEDirty Douglas\n\cCMolto bene. Finché tieni giù le armi, nessuno dovrebbe notarti in quell'uniforme, eccetto la \cRGestapo\cC. Dovrebbe starci anche una \cFchiave d'accesso \cHblu\cC nei dintorni, che ti farà entrare nel bunker degli U-boat, e sbloccare le aree a basso livello di sicurezza.","\cEKirli Douglas\n\cCÇok iyi. Silahlarınızı aşağıda tuttuğunuz sürece, \cRGestapo\cC dışında kimse sizi bu üniformayla fark etmemeli. Ayrıca burada, denizaltı sığınağına girmenizi ve düşük güvenlikli alanların kilidini açmanızı sağlayacak bir \cHmavi \cFerişim anahtarı\cC da olmalı.","\cEDirty Douglas\n\cCTrès bien. Tant que tu caches tes armes, personne ne devrait te repérer dans cet uniforme, à part la \cRGestapo\cC. Il doit aussi y avoir une \cFclé d'accès \cHbleue\cC par ici, pour entrer dans le bunker des U-boats. Et pour débloquer les zones de première sécurité.","\cEDirty Douglas\n\cCVelmi dobře. Dokud nevytáhneš svou zbraň, nikdo by si tě v tom převleku neměl všimnout, kromě \cRgestapa\cC. Někde by tu také měl být \cHmodrý \cFpřístupový klíč\cC, se kterým se dostaneš do přístavního bunkru a zpřístupníš si oblasti s nízkým oprávněním.","\cEDirty Douglas\n\cCBardzo dobrze. Dopóki trzymasz broń na dole, nikt nie powinien cię zauważać w tym mundurze, z wyjątkiem \cRGestapo\cC. W pobliżu powinien być również \cHniebieski \cKlucz dostępu\cC, który pozwoli ci wejść do bunkra U-Boota i odblokować bezpieczne obszary o niskim prześwicie."
DARRENMESSAGE55,,,"\cEDirty Douglas\n\cCThere it is; good job. I found myself a passport as well. With these passports, we should be able to enter the U-boat. I'll meet you in the ship's cargo bay. Before you get on, however, you may want to search for additional equipment near the pier.","\cEDirty Douglas\n\cCDa ist sie! Gute Arbeit. Ich habe mir auch eine \cFKennkarte\cC besorgt. Damit sollten wir auf das U-Boot kommen. Ich treffe dich im Frachtraum. Bevor du an Bord gehst, solltest du dich am Pier noch nach zusätzlicher Ausrüstung umsehen.","\cEDouglas, El Sucio\n\cCAhí está; bien hecho. Con estos pasaportes, deberíamos poder ingresar al submarino. También encontré uno, y te encontraré en la bahía de carga del barco. Sin embargo, antes de continuar, puede que quieras buscar equipamiento adicional cerca del muelle.","\cEГрязный Дуглас\n\cCА вот и удостоверение, замечательно. Я тоже нашёл себе такое. Теперь нас должны пустить на подлодку, встречаемся в трюме. Перед этим, кстати, было бы неплохо поискать припасы рядом с причалом.","\cEDouglas Sujo\n\cCAqui está; bom trabalho. Também consegui um passaporte. Com esses passaportes, poderemos entrar no submarino. Encontro você no compartimento de carga do navio. Antes de embarcar, porém, talvez queira procurar por equipamentos adicionais perto do cais.","\cEDirty Douglas\n\cCEccolo qui; buon lavoro. Ho trovato un passaporto anche per me. Con questi passaporti, dovremmo essere in grado di entrare nell'U-Boot. Ci vediamo nella stiva della nave. Prima di salire, tuttavia, potresti voler cercare attrezzature aggiuntive vicino al molo.","\cEKirli Douglas\n\cCİşte orada; iyi iş. Ben de kendime bir pasaport buldum. Bu pasaportlarla denizaltıya girebilmeliyiz. Geminin kargo bölümünde buluşalım. Ancak binmeden önce, iskele yakınlarında ek ekipman aramak isteyebilirsiniz.","\cEDirty Douglas\n\cCAh parfait, bon travail. Je me suis déchiché un passe moi-aussi. Avec ça, on va pouvoir entrer dans le sous-marin. On se rejoindra dans la soute. Mais avant de monter, tu voudras peut être vérifier le coin de la jetée, pour un peu d'équipement.","\cEDirty Douglas\n\cCTak, a je to; dobrá práce. S těmito pasy bychom měli být schopni se do ponorky dostat. Pro sebe už pas mám, takže se sejdeme v nákladním prostoru ponorky. Ale ještě než nastoupíš, možná se budeš chtít na molu poohlédnout po dalším vybavení.","\cEDirty Douglas\n\cCTu jest; dobra robota. Mając te paszporty, powinniśmy być w stanie wejść do łodzi podwodnej. Ja też znalazłem paszport i spotkamy się z tobą w ładowni statku. Zanim jednak wejdziesz, warto poszukać dodatkowego wyposażenia w pobliżu molo."
DARRENMESSAGE56,,,"\cEDirty Douglas\n\cPWilliam\cC, the door system is jammed. Looks like a Kraut started trying to fix it, but he took his lunch break before he finished. We can't wait that long. Look around for a \cFrepair kit\cC, and once you find one, come back here, and fix the door yourself.","\cEDirty Douglas\n\cPWilliam\cC, das Türsystem klemmt. Sieht so aus, als hätte ein Kraut versucht, es zu reparieren, aber dann kam ihm wohl die Mittagspause dazwischen. So lange können wir nicht warten. Sieh dich nach einer \cFWerkzeugkiste\cC um, und wenn du eine gefunden hast, komm zurück und repariere die Tür einfach selbst.","\cEDouglas, El Sucio\n\cPWilliam\cC, el sistema de la puerta se atoró. Parece que un Nazi comenzó a tratar de arreglarlo, pero tomó su descanso para almorzar antes de terminar. No podemos esperar tanto. Busca un \cFkit de reparaciones\cC arriba en el almacén, vuelve y arréglalo tú mismo.","\cEГрязный Дуглас\n\cPУильям\cC, дверь заклинило. Видимо, какой-то ганс пытался её починить, но плюнул и ушёл на обед. Мы не можем ждать, пока он вернётся. Найди \cFремонтный набор\cC на верхнем этаже, вернись и почини дверь.","\cEDouglas Sujo\n\cPWilliam\cC, o sistema da porta está emperrado. Parece que um alemão tentou consertá-lo, mas parou para almoçar antes de terminar. Não podemos esperar tanto. Procure um \cFkit de reparo\cC e, assim que encontrar um, volte aqui e conserte a porta você mesmo.","\cEDirty Douglas\n\cPWilliam\cC, il pannello della porta è danneggiato. Sembra che un crucco abbia provato a ripararlo, ma è andato in pausa pranzo prima di terminare. Non possiamo attendere troppo al lungo. Cerca in zona un \cFKit di riparazione\cC, e appena l'hai trovato torna qui, e sistema la porta.","\cEKirli Douglas\n\cPWilliam\cC, kapı sistemi sıkışmış. Görünüşe göre bir Alman tamir etmeye çalışmış ama bitirmeden öğle yemeği molasına çıkmış. O kadar bekleyemeyiz. Etrafta bir \cFtamir kiti\cC arayın ve bulduğunuzda buraya geri gelip kapıyı kendiniz tamir edin.","\cEDirty Douglas\n\cPWilliam\cC, le système de la porte est grippé. On dirait qu'un Boche a essayé de la réparer, mais qu'il a prit sa pause déjeuner. On ne peut pas attendre. Cherche aux alentours un \cFkit de réparation\cC, et répare la porte toi-même.","\cEDirty Douglas\n\cPWilliame\cC, mechanismus dveří je zaseklý. Vypadá to, že nějaký skopčák se to pokoušel opravit, ale kvůli obědu to nedokončil. Tak dlouho čekat nemůžeme. Podívej se po \cFopravářské soupravě\cC, a jakmile nějakou najdeš, vrať se zpět a oprav to.","\cEDirty Douglas\n\cPWilliam\cC, system drzwi jest zablokowany. Wygląda na to, że Szwab próbował to naprawić, ale zrobił sobie przerwę na lunch, zanim skończył. Nie możemy czekać tak długo. Rozejrzyj się za \cZestawem naprawczym\cC, a kiedy już go znajdziesz, wróć tutaj i sam napraw drzwi."
DARRENMESSAGE57,,,"\cEDirty Douglas\n\cPWilliam\cC, the door system is jammed. Looks like a Kraut started trying to fix it, but he took his lunch break before he finished. We can't wait that long. Try to use that \cFrepair kit\cC you found to fix it yourself.","\cEDirty Douglas\n\cPWilliam\cC, das Türsystem klemmt. Sieht so aus, als hätte ein Kraut versucht, es zu reparieren, aber dann kam ihm wohl die Mittagspause dazwischen. Wir können nicht länger warten. Versuch, das Ding mit deiner \cFWerkzeugkiste\cC selbst zu reparieren.","\cEDouglas, El Sucio\n\cPWilliam\cC, el sistema de la puerta se atoró. Parece que un Nazi comenzó a tratar de arreglarlo, pero tomó su descanso para almorzar antes de terminar. No podemos esperar tanto. Trata de usar ese \cFkit de reparaciones\cC que encontraste para arreglarlo.","\cEГрязный Дуглас\n\cPУильям\cC, дверь заклинило. Видимо, какой-то ганс пытался её починить, но плюнул и ушёл на обед. Мы не можем ждать, пока он вернётся. Попробуй починить дверь сам с помощью \cFремонтного набора\cC.","\cEDouglas sujo\n\cPWilliam\cC, o sistema da porta está emperrado. Parece que um alemão tentou consertá-lo, mas parou para almoçar antes de terminar. Não podemos esperar tanto. Tente usar aquele \cFkit de reparo\cC que você encontrou para consertá-lo você mesmo.","\cEDirty Douglas\n\cPWilliam\cC, il pannello della porta è danneggiato. Sembra che un crucco abbia provato a ripararlo, ma è andato in pausa pranzo prima di terminare. Non possiamo attendere troppo al lungo. Prova ad usare il \cFKit di riparazione\cC che hai trovato.","\cEKirli Douglas\n\cPWilliam\cC, kapı sistemi sıkışmış. Görünüşe göre bir Alman tamir etmeye çalışmış ama bitirmeden öğle yemeği molasına çıkmış. O kadar bekleyemeyiz. Bulduğun \cFtamir kitini\cC kullanarak kendin tamir etmeyi dene.","\cEDirty Douglas\n\cPWilliam\cC, le système de la porte est grippé. On dirait qu'un Boche a essayé de réparer, mais qu'il a prit sa pause déjeuner. On ne peut pas attendre. Utilise le \cFkit de réparation\cC que tu as trouvé pour le faire toi-même.","\cEDirty Douglas\n\cPWilliame\cC, mechanismus dveří je zaseklý. Vypadá to, že nějaký skopčák se to pokoušel opravit, ale kvůli obědu to nedokončil. Tak dlouho čekat nemůžeme. Zkus použít tu \cFopravářskou soupravu\cC, co jsi našel, a opravit to sám.","\cEDirty Douglas\n\cPWilliam\cC, system drzwi jest zablokowany. Wygląda na to, że Szwab próbował to naprawić, ale zrobił sobie przerwę na lunch, zanim skończył. Nie możemy czekać tak długo. Spróbuj użyć tego \cZestawu naprawczego\cC, który znalazłeś, aby naprawić to samodzielnie."
DARRENMESSAGE58,,,"\cEDirty Douglas\n\cCA \cFrepair kit\cC? Take it with you, \cPWilliam\cC; you might need it later.","\cEDirty Douglas\n\cCEin \cFWerkzeugkoffer\cC? Nimm ihn mit \cPWilliam\cC, vielleicht kannst Du ihn später gut gebrauchen.","\cEDouglas, El Sucio\n¿Un \cFkit de reparaciones\cC? Tengo la sensación de que te podría ser útil, \cPWilliam\cC.","\cEГрязный Дуглас\n\cC\cFРемонтный набор\cC? У меня такое чувство, что он может тебе понадобиться, \cPУильям\cC.","\cEDouglas sujo\n\cCUm \cFkit de reparos\cC? Leve-o com você, \cPWilliam\cC; você pode precisar dele mais tarde.","\cEDirty Douglas\n\cCUn \cFKit di riparazione\cC? Portalo con te, \cPWilliam\cC; potrebbe servirti dopo.","\cEKirli Douglas\n\cCBir \cFtamir kiti\cC? Yanına al, \cPWilliam\cC; daha sonra ihtiyacın olabilir.","\cEDirty Douglas\n\cCUn \cFkit de réparation\cC? Ramasse, \cPWilliam\cC. Tu pourrais en avoir besoin plus tard.","\cEDirty Douglas\n\cFOpravářská souprava\cC? Vem ji s sebou, \cPWilliame\cC; možná ji budeš později potřebovat.","\cEDirty Douglas\n\cZestaw naprawczy\cC? Zabierz to ze sobą, \cPWilliam\cC; możesz go później potrzebować."
DARRENMESSAGE59,,,"\cEDirty Douglas\n\cCVery good, \cPWilliam\cC. This garage is the entry point to the shipyard - the place where reinforcements arrive, and are then verified and assigned. They probably store the soldiers' personal files here. Search the area for a \cFKennkarte\cC.","\cEDirty Douglas\n\cCSehr gut, \cPWilliam\cC. Diese Garage ist der Eingang zur Werft - der Ort, an dem der Nachschub ankommt, überprüft und zugewiesen wird. Wahrscheinlich lagern hier die persönlichen Unterlagen der Soldaten. Durchsuche den Bereich nach einer \cFKennkarte\cC.","\cEDouglas, El Sucio\n\cCMuy bien, \cPWilliam\cC. Este garaje es el punto de entrada al astillero - el lugar donde llegan los refuerzos, y luego se verifican y asignan. Probablemente aquí almacenan los archivos personales de los soldados. Busca en el área un \cFKennkarte\cC.","\cEГрязный Дуглас\n\cCОчень хорошо, \cPУильям\cC. Этот гараж — вход на судоверфь, то есть туда, куда прибывают подкрепления, которые после этого проверяются и назначаются на места. Личные дела, видимо, хранятся здесь. Обыщи этот район и найди \cFудостоверение личности\cC.","\cEDirty Douglas\n\cCMuito bem, \cPWilliam\cC. Esta garagem é o ponto de entrada para o estaleiro - o local onde chegam os reforços, que são verificados e designados. Provavelmente, os arquivos pessoais dos soldados são armazenados aqui. Procure na área por um \cFKennkarte\cC.","\cEDirty Douglas\n\cCMolto bene, \cPWilliam\cC. Questo garage è l'accesso al molo - il luogo dove arrivano i rinforzi, e vengono poi verificati e assegnati. Probabilmente tengono qui i documenti personali dei soldati. Cerca nell'area per un \cFKennkarte\cC.","\cEKirli Douglas\n\cCÇok iyi, \cPWilliam\cC. Bu garaj tersaneye giriş noktasıdır - takviye birliklerinin geldiği, doğrulandığı ve görevlendirildiği yer. Muhtemelen askerlerin kişisel dosyalarını burada saklıyorlar. Bölgede bir \cFKennkarte\cC arayın.","\cEDirty Douglas\n\cCTrès bien, \cPWilliam\cC. Ce garage est le point d'entrée du chantier naval. C'est là où les renforts arrivent avant d'être réaffectés ailleurs. Ils ont probablement des documents privés sur les soldats ici. Cherche dans la zone pour trouver une \cFKennkarte\cC.","\cEDirty Douglas\n\cCVelmi dobře, \cPWilliame\cC. Tahle garáž je vstupem do loděnice - místem, kudy přicházejí posily, jsou ověřeny a přiřazeny. Pravděpodobně tam skladují i osobní dokumenty vojáků. Prohledej to a zkus najít \cFprůkaz totožnosti\cC.","\cEDirty Douglas\n\cCBardzo dobrze, \cPWilliam\cC. Ten garaż jest punktem wejścia do stoczni - miejsca, do którego przybywają posiłki, a następnie są weryfikowane i przydzielane. Prawdopodobnie przechowują tutaj akta osobowe żołnierzy. Przeszukaj obszar w poszukiwaniu \cFKennkarte\cC."
DARRENMESSAGE60,,,"\cEDirty Douglas\n\cCThat's very troubling news, \cPWill\cC. \cRHades' Purge\cC is slowly taking shape, and I don't like what I read about blowing up Europe. This is no sabre rattling; these are precise orders. Take the files with you, and I will examine them later.","\cEDirty Douglas\n\cCDas sind sehr beunruhigende Nachrichten, \cPWill\cC. Die \cRHades-Säuberung\cC nimmt langsam Gestalt an, und was ich über die Vernichtung Europas gelesen habe, gefällt mir gar nicht. Das ist kein Säbelrasseln; das sind konkrete Befehle. Nimm die Unterlagen mit, ich sehe sie mir später genauer an.","\cEDouglas, El Sucio\n\cCEsto es sumamente alarmante, \cPWill\cC. La \cRPurga de Hades\cC se va formando lentamente y no me gusta lo que leo sobre volar Europa. Esto no es un ruido de sable. Estas son órdenes precisas. Lleva los archivos contigo, los examinaré más tarde.","\cEГрязный Дуглас\n\cCЭто тревожная новость, \cPУилл\cC. \cRОчищение Аида\cC постепенно обретает форму, и мне не нравится то, что я читаю о подрыве Европы. Это ведь не размахивание шашкой, здесь точные приказы. Возьми документы с собой, позже я изучу их.","\cEDouglas Sujo\n\cCEssa é uma notícia muito preocupante, \cPWill\cC. \cRO Expurgo de Hades\cC está lentamente tomando forma, e eu não gosto do que li sobre explodir a Europa. Isso não é bravata; são ordens precisas. Leve os arquivos com você, e eu os examinarei mais tarde.","\cEDirty Douglas\n\cCQueste sono notizie preoccupanti,\cPWill\cC. L'\cREpurazione di Hades\cC sta lentamente prendendo forma, e non mi piace ciò che ho letto sul distruggere l'Europa. Questo non è un tintinnio di sciabola; questi sono ordini precisi. Prendi i file con te, li esaminerò dopo.","\cEKirli Douglas\n\cCBu çok endişe verici bir haber, \cPWill\cC. \cRCehennemin Temizliği\cC yavaş yavaş şekilleniyor ve Avrupa'yı havaya uçurmakla ilgili okuduklarım hoşuma gitmiyor. Bu bir kılıç sallama değil; bunlar kesin emirler. Dosyaları yanına al, onları daha sonra inceleyeceğim.","\cEDirty Douglas\n\cCC'est pas rassurant, \cPWill\cC. La \cRPurge de Hadès\cC prend forme petit à petit. La destruction de l'Europe? Ce ne sont pas des rumeurs. Ce sont des ordres. Prend ces dossiers avec toi, je les examinerai plus tard.","\cEDirty Douglas\n\cCTo jsou velmi nemilé zprávy, \cPWille\cC. \cRHades' Purge\cC se pěkně vybarvuje a vůbec se mi nelíbí, co může znamenat to vyhození celé Evropy do povětří. To není jenom mácháním šavlí; to jsou přesné rozkazy. Vezmi ty dokumenty s sebou a podívám se na ně později.","\cEDirty Douglas\n\cCTo bardzo niepokojąca wiadomość, \cPWill\cC. \cRCzystka Hadesa\cC powoli nabiera kształtu i nie podoba mi się to, co czytałem o wysadzaniu Europy w powietrze. To nie jest grzechotanie szablą; to są dokładne rozkazy. Zabierz ze sobą akta, zbadam je później."
